MOTOROLA,,,SAMSUNG,,,XIAOMI,,,IPHONE,,,,,,,,,,
G1, $70.00 ,,J120 similar, $40.00 ,,Mi play, $110.00 ,,iPhone SE 2020, $70.00 ,,,,,,,,,
G2, $50.00 ,,J120 incell , $60.00 ,,Mi go/Mi 5A, $85.00 ,,iPhone 5G, $60.00 ,,,,,,,,,
G3, $60.00 ,,J2 similar , $50.00 ,,Mi 3 , $120.00 ,,iPhone 5C, $60.00 ,,,,,,,,,
G4 com aro, $90.00 ,,J2 incell , $60.00 ,,Mi 5, $120.00 ,,iPhone 5S/5SE, $70.00 ,,,,,,,,,
G4 play com aro, $80.00 ,,J2 pro similar , $45.00 ,,Mi a1 , $100.00 ,,iPhone 6G, $55.00 ,,,,,,,,,
G5, $65.00 ,,J2 pro incell , $65.00 ,,Mi a2   , $70.00 ,,iPhone 6s  , $65.00 ,,,,,,,,,
G5 plus, $60.00 ,,J2 core , $55.00 ,,Mi a2 lite, $75.00 ,,iPhone 6 Plus, $70.00 ,,,,,,,,,
G5s, $60.00 ,,J3 similar , $45.00 ,,Mi a3 incell , $80.00 ,,iPhone 6S Plus, $80.00 ,,,,,,,,,
G5s plus, $65.00 ,,J3 incell , $60.00 ,,Mi a3 oled , $270.00 ,,iPhone 7G, $70.00 ,,,,,,,,,
G5g com aro, $190.00 ,,J4 similar , $45.00 ,,Mi a3 oled com aro , $255.00 ,,iPhone 7 Plus, $75.00 ,,,,,,,,,
G5g plus/ G100, $115.00 ,,J4 incell , $65.00 ,,Mi a3 oled com aro (Premium), $270.00 ,,iPhone 7 Plus (Premium), $115.00 ,,,,,,,,,
G5g plus com aro, $220.00 ,,J4 oled , $130.00 ,,Mi 8 incell , $105.00 ,,iPhone 8G, $65.00 ,,,,,,,,,
G6, $90.00 ,,J4+/J4 core/J6+, $60.00 ,,Mi 8 oled , $150.00 ,,iPhone 8g (Premium), $100.00 ,,,,,,,,,
G6 com aro, $100.00 ,,J5 similar , $45.00 ,,Mi 8 lite , $75.00 ,,iPhone 8 Plus, $80.00 ,,,,,,,,,
G6 play/E5, $70.00 ,,J5 incell , $65.00 ,,Mi 8 lite com aro , $110.00 ,,iPhone 8 plus (Premium), $120.00 ,,,,,,,,,
G6 play/E5 com aro, $80.00 ,,J5 incell (Premium), $85.00 ,,Mi 9 oled , $185.00 ,,iPhone X oled (Premium), $200.00 ,,,,,,,,,
G6 plus, $75.00 ,,J5 pro similar , $50.00 ,,Mi 9 oled com aro , $240.00 ,,iPhone X incell (Premium), $100.00 ,,,,,,,,,
G6 plus com aro (Premium), $135.00 ,,J5 pro incell , $65.00 ,,Mi 9 incell, $100.00 ,,iPhone XR incell (Premium), $90.00 ,,,,,,,,,
G7/g7 plus , $85.00 ,,J5 pro oled , $140.00 ,,Mi 9 se incell , $130.00 ,,iPhone XR (Premium), $120.00 ,,,,,,,,,
G7 play, $65.00 ,,J5 metal similar , $45.00 ,,Mi 9 lite incell , $100.00 ,,iPhone XS Incell (Premium), $100.00 ,,,,,,,,,
G7 play com aro, $95.00 ,,J5 metal incell , $70.00 ,,Mi 9 lite oled , $160.00 ,,iPhone XS Oled (premium), $200.00 ,,,,,,,,,
G7 power, $75.00 ,,J5 prime , $60.00 ,,Mi 9t incell , $90.00 ,,iPhone XS Max oled (premium), $270.00 ,,,,,,,,,
G7 power com aro , $100.00 ,,J6 similar , $45.00 ,,Mi 9t oled, $265.00 ,,iPhone XS Max Incell (Premium), $100.00 ,,,,,,,,,
G8 play/One Macro, $60.00 ,,J6 incell , $60.00 ,,Mi 9t oled com aro  , $300.00 ,,iPhone 11 incell (Premium), $90.00 ,,,,,,,,,
G8 play/One Macro com aro, $105.00 ,,J6 oled , $195.00 ,,Mi 9t oled com aro (Premium), $320.00 ,,iPhone 11 (Premium), $120.00 ,,,,,,,,,
G8 play / one macro com aro (Premium), $130.00 ,,J7 similar , $45.00 ,,Mi 10 lite incell, $115.00 ,,iPhone 11 pro incell (Premium), $105.00 ,,,,,,,,,
G8 plus, $85.00 ,,J7/J7 neo incell , $65.00 ,,Mi 10 lite oled , $350.00 ,,iPhone 11 pro oled (Premium), $240.00 ,,,,,,,,,
G8 plus com aro, $105.00 ,,J7 pro similar , $50.00 ,,Mi note 10 pró/ mi note 10 lite oled , $355.00 ,,iPhone 11 Pro Max oled (Premium), $305.00 ,,,,,,,,,
G8 power, $85.00 ,,J7 pro incell , $70.00 ,,Mi 10T , $135.00 ,,iPhone 11 Pro Max Incell (Premium), $120.00 ,,,,,,,,,
G8 power com aro, $125.00 ,,J7 pro incell (Premium), $95.00 ,,Mi 11 lite incell, $120.00 ,,iPhone 12/ 12 pro oled (Premium), $310.00 ,,,,,,,,,
G8 power lite, $70.00 ,,J7 pro oled , $140.00 ,,Mi 11 lite oled , $340.00 ,,iPhone 12/12 pro incell (Premium), $145.00 ,,,,,,,,,
G8 power lite com aro, $90.00 ,,J7 metal similar , $45.00 ,,Mi 12 lite oled , $235.00 ,,iPhone 12 mini incell (Premium), $200.00 ,,,,,,,,,
G8, $75.00 ,,J7 metal incell , $60.00 ,,Mi 13 lite oled, $500.00 ,,iPhone 12 pro max incell (premium), $190.00 ,,,,,,,,,
G8 com aro, $95.00 ,,J7 prime , $60.00 ,,Redmi S2, $80.00 ,,iPhone 12 pro max oled (premium), $450.00 ,,,,,,,,,
G9, $150.00 ,,J7 prime 2 , $80.00 ,,Redmi a1 / Redmi A1 plus/ Redmi a2/ Poco C50, $90.00 ,,iPhone 13 incell (Premium), $185.00 ,,,,,,,,,
G9 play/ E7 plus, $60.00 ,,J8 similar , $45.00 ,,Redmi a1 / Redmi A1 plus/ Redmi a2/ Poco C50 com aro, $100.00 ,,iPhone 13 OLED (Premium), $365.00 ,,,,,,,,,
G9 play/E7 plus com aro, $90.00 ,,J8 incell , $60.00 ,,Redmi a1/ Redmi a1 plus/ Redmi a2/ Poco c50 com aro (Premium), $130.00 ,,iPhone 13 mini incell (Premium), $370.00 ,,,,,,,,,
G9 play / e7 plus com aro (Premium), $110.00 ,,J8 oled , $195.00 ,,Redmi a3, $70.00 ,,iPhone 13 incell (Premium), $220.00 ,,,,,,,,,
G9 plus, $105.00 ,,M13 4g com aro , $95.00 ,,Redmi a3 com aro, $110.00 ,,iPhone 13 pro oled (Premium), $510.00 ,,,,,,,,,
G9 plus com aro, $125.00 ,,M13 4g com aro (Premium), $120.00 ,,Redmi a5, $90.00 ,,iPhone 13 pro max incell (Premium), $250.00 ,,,,,,,,,
G9 power, $90.00 ,,M14 5g, $80.00 ,,Redmi 5 plus , $90.00 ,,iPhone 13 pro max oled (Premium), $575.00 ,,,,,,,,,
